Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
School of Marketing and International Business,2020,The Opportunities and Costs of Highly Involved B2B Buyers,"The authors examine the impact of organizational buyers’ product involvement on customers’ and suppliers’ financial outcomes, driven by buyers’ increased willingness to pay and their perceived credibility in negotiations with the supplier. The ef",Oklahoma State University, University of Missouri,,Justin M. Lawrence, Colleen E. McClure, Todd J. Arnold
School of Marketing and International Business,2020,Targeting and Designing Supplier-Initiated Relationship Expansion Proposals,"The authors assess effects of relationship expansion proposals contingent on three account opportunity metrics: sales potential, gross margin position, and historical service provision. Study 1), reveals that higher sales potential and higher service pro",Oklahoma State University, Iowa State University," Marquette University, Ohio University",Justin M. Lawrence,,
School of Marketing and International Business,2020,When Hybrid Sales Structures Enhance Performance in B2B Markets,"Business-to-business selling firms (sellers) increasingly assign customers an inside salesperson, in addition to a traditional outside salesperson. These multichannel sales structures are believed to decrease expenses by substituting a less-costly sales ",Oklahoma State University, University of Notre Dame," Iowa State University, University of Washington",Justin M. Lawrence,,
School of Marketing and International Business,2020,Managing Moral Misalignment and Donor Defection,"Unlike performance-based defectors who leave firms in response to some form of utility deficit with the offering, identity-based defectors are customers who sever relationships due to a perceived mismatch between their identities and their perceptions of the firm�s identity. Using consumer data from a multinational nonprofit firm and a framework derived from customer-company identification theory, this study examines optimal communication strategies for the reacquisition of identity-based customer defectors and reveals suboptimal reacquisition results related to traditional reacquisition messaging. This article introduces identity-based defectors to extant literature and outlines specific routes by which firms should approach their reacquisition.",Oklahoma State University,Florida State University,University of North Carolina,Justin M. Lawrence,,
School of Marketing and International Business,2020,The Upstream Impact of Online Ratings on B2B Relationships,"Online reviews reflect relationships and interactions between a firm and end users. Dimensions of marketing strategy execution, such as service quality and affordable prices, drive positive reviews. These reviews therefore capture information that has im",Oklahoma State University,Iowa State University,,Justin M. Lawrence, Colleen E. McClure, Hans Nguyen
School of Marketing and International Business,2020,Motivating Customers to Respond Positively to Involuntary Intermediation: Minimizing Defection and Maximizing Purchasing,Tightening margins and emerging competitors are motivating manufacturers to streamline distribution systems by assigning customers to channels where they can be profitably served. One frequently chosen strategy is involuntary intermediation: a manufactur,Oklahoma State University,Iowa State University,University of Missouri,Justin M. Lawrence,,
School of Marketing and International Business,2020,Stable Prices in B2B Relationships: How Resellers React to Longer-term Pricing Policies,"The authors examine when longer-term pricing policies in B2B markets can generate higher profits for suppliers. Drawing on cost of price adjustment (COPA) theory, the authors suggest that price-adjustment carries costs and benefits for customers, and tha",Oklahoma State University,Southern Illinois University,,Justin M. Lawrence,,
School of Marketing and International Business,2020,The Negative Impact of Seasonal/Limited Edition Packaging on Product Recognition and Shopping Experience,"Brands often vary their traditional packaging for different times of year (i.e., Coca-Cola’s winter cans), when introducing limited edition products, and when co-branding and crossing   promoting products. We find that limited edition/seasonal packagin",Oklahoma State University,,,Steven Shepherd,,
School of Marketing and International Business,2020,Cultural Diversity in Advertising and Representing Different Visions of America,Cultural diversity in advertising has the potential to reflect American society and embody a view of America that is either consistent or inconsistent with a consumer’s beliefs and values. Our research explores how consumers with differing visions of A,Oklahoma State University,,,Steven Shepherd,,
School of Marketing and International Business,2020,Identifying and Explaining the Gender-Gap in Consumer Responses to Product   Failures: Gender Stereotypes Create Victims out of Women,"Every year, thousands of consumer complaints are made to regulatory agencies, including the Consumer Product Safety Commission, Federal Trade Commission, among others. The current research asks if the victim matters is how such incidents are interpreted ",Oklahoma State University,,,Steven Shepherd,,
School of Marketing and International Business,2020,Military Veterans are Morally Typecast as Heroic but Unfeeling,"What kind of “mind” do people assume those in the military have? Leveraging previous theorizing on mind perception, dehumanization, and career typology, the current research shows that veterans are seen as having a higher capacity for agency but less",Oklahoma State University,,,Steven Shepherd,,
School of Marketing and International Business,2020,"Brand Dependence, Domain Complexity, and Motivated Brand Trust","We find that highly victim sensitive individuals want to trust others, but are also very concerned with being taken advantage of. Counterintuitively, we find that these people report increased trust in a brand or service provide when the particular domai",Oklahoma State University,,,Steven Shepherd,,
School of Marketing and International Business,2020,The Effect of Brand Personality and Acceptance of LGBT Representation in Ads Among            Liberals and Conservatives,"In this research we explore how liberals and conservatives respond to LGBT representation in advertising. Critically, we also test the moderating role of brand personality. While conservatives generally respond more negatively to LGBT representation in a",Oklahoma State University, Duke University,,Steven Shepherd,,
School of Marketing and International Business,2020,"Differing Terms for the Peer-to-Peer Economy and Their Associations with Race, Morality, and Legitimacy","Numerous terms that lack clear definitions are often interchangeably used to refer to the peer- to-peer economy and activities within it. Moreover, the popular press has noted racial disparities in how different peer-to-peer activities are perceived and ",Oklahoma State University, Duke University,,Steven Shepherd,,
School of Marketing and International Business,2020,Passion Exploitation: Legitimization of Taking Advantage of Other People�s Passion for Work,"Although passion may indeed be beneficial in many ways, we suggest that the modern cultural emphasis may also serve to facilitate the legitimization of demeaning and unfair management   practices � a phenomenon we term the legitimization of passion explo",Oklahoma State University, Duke University,,Steven Shepherd,,
School of Marketing and International Business,2020,The Cheating Culture: Consequences of Neurotic Competitiveness,Karen Horney (1937) discussed the concept of neurotic competitiveness. Neurotically competitive persons are more focused on defeating their opponents than on winning per se. Existing research shows that a significant segment of the American public may ha,Oklahoma State University, California State University at Chico,,Ajay Sukhdial,,
School of Marketing and International Business,2020,The Joyless Economy: The Marketing Implications of Consumer Strategies for Beating Everyday Boredom,"Throughout history, philosophers have argued, “Boredom is the root of all evil.” Current academic research confirms that ongoing feelings of boredom, a modern existential condition, are associated with numerous ills in society. Scholars have also arg",Oklahoma State University, California State University at Chico,,Ajay Sukhdial,,
School of Marketing and International Business,2020,A Review and Meta-Analysis of Experimental Effects in Brand Alliance Research,A meta-analysis is a study of effect sizes across studies.  We analyze reported results from a large number of papers. The findings indicate that the brand alliance effect is real and of a small to medium effect size. How research design elements affect ,Oklahoma State University, States of Virginia," Texas, and Ohio",Kevin E. Voss,,
School of Marketing and International Business,2020,Sound Symbolism and Consumer Forgiveness,We explore how the sounds of the words used in an apology affect the customer’s likelihood of forgiveness. Such apologies are used in response to a brand transgression. We posit that certain words convey warmth while other sounds convey competence. The,Oklahoma State University,,,Kevin E. Voss, Minjoo Kim,
School of Marketing and International Business,2020,Perceived Shared Experience: The Moderating Effect of Experience Type in Building Emotional Attachment,"We explore how different types of experience, for example ordinary versus extreme, experiences affect how people form attachment to their brands.",Oklahoma State University,,,Kevin E. Voss, Ying Ying Li,
School of Marketing and International Business,2020,How Competing Ad Cues Overwhelm a Brand Alliance Cue,"We demonstrate that distraction impairs brand alliance cues in advertising because brand alliance cues are relatively weak. In published research, theorists have demonstrated that a well-known ally brand improves consumer evaluations of a previously unkn",Oklahoma State University,,,Kevin E. Voss, Ying Ying Li, YoungOk “Sunny” Song
School of Marketing and International Business,2020,The Effect of Fear-based stimuli on Emotional Attachment: The Mediating Effect of Emotional Arousal,"The authors demonstrate that fear arousal is an important antecedent of emotional attachment, even when viewers’ emotional arousal is attenuated from the presence of a previously attached brand. When viewers are exposed to a fear-based stimulus, the re",Oklahoma State University,,,Kevin E. Voss, Ying Ying Li,
School of Marketing and International Business,2020,Measuring Attachment Anxiety and Avoidance: A Semantic Differential Approach,"Marketing researchers are increasingly interested in the effects of attachment styles on important variables in consumer and business-to-business markets. The scales developed herein provide reliable, valid, and generally applicable scales that are short",Oklahoma State University,,,Kevin E. Voss, Ying Ying Li,
School of Marketing and International Business,2020,The Effect of Unusual Brand Names on Consumer’s Brand Evaluations,"Research to understand companies’ use of brand names that we classify as unusual.  These brand names often use profanity or words that allude to body parts.  A website that tracks these names and has a list of 1,617.  We lack credible research on why m",Oklahoma State University,,,Kevin E. Voss, Richie L. Liu,
School of Marketing and International Business,2020,Small Talk: A Double-Edged Sword,There is a pervasive belief in the sales literature that beginning a meeting with small talk will lead to a positive outcome. Drawing on the linguistics and management literature the authors identify conditions where small talk will be counter-productive,Oklahoma State University,,,Josh Wiener,,
School of Marketing and International Business,2020,Communicating with a New Customer,The question is how a sales person should communicate to a customer that is a novice. S/he is unfamiliar with the product or service being sold. The salesperson must choose between beginning in a social or functional manner. A conceptual framework and se,Oklahoma State University,,,Josh Wiener, Karen Flaherty, Hillary Wiener
School of Marketing and International Business,2020,Product Anecdotes,"Extant literature emphasizes how products can be used by a person for one-way communication, i.e., telling others about themselves. A theoretical framework is constructed to explain how a product can be used to facilitate two-way communication (conversat",Oklahoma State University,,,Josh Wiener, Todd Arnold, Hillary Wiener
School of Marketing and International Business,2020,Support for Regulation,There ae numerous regulations that restrict the freedom of companies and individuals in order to advance a public health or environmental objective. Drawing on the criminal justice literature a framework for understanding why people might support such re,Oklahoma State University,,,Josh Wiener,,
School of Marketing and International Business,2020,Why Scientists are Discounted,Assertions by scientists and other experts are often discounted or rejected by a significant portion of the population. A conceptual framework for understanding why is created. The core point is that if statements about a problem are accompanied by polic,Oklahoma State University,,,Josh Wiener,,
Department Management Science and Information Systems,2021,Identifying Injury Severity Risk Factors in Automobile Crashes: A Hybrid Explainable AI Approach,"We designed and developed a hybrid methodology involving predictive analytics, explainable AI, and heuristic optimization techniques to investigate the injury severity risk factors in automobile crashes. We proposed an explanation method based on a varia",Oklahoma State University,,,Ali Bagheri, Dursun Delen, Mostafa Amini
Department Management Science and Information Systems,2021,Measuring the Relative Performance of Accountable Care Organizations: The Role of Electronic Health Records,"Accountable Care Organizations (ACOs) were established to address the issues related to the soaring costs of healthcare delivery. We propose an evaluation framework to measure ACO efficiency, based on their ability to use health care resources to maximiz",Oklahoma State University, University of Texas,,Chenzhang Bao,,
Department Management Science and Information Systems,2021,Antecedents and Impact of Health Information Sharing on Hospital Performance: EMR Sourcing Strategies and HIE Participation,"Despite significant investments in health information technologies (IT), there is still a dearth of information sharing among healthcare providers and hospitals, which constrain adopters from reaping the full benefits of health IT. In this study, we exam",Oklahoma State University, University of Texas,,Chenzhang Bao,,
Department Management Science and Information Systems,2021,IT Spillover Effects in Levels of Healthcare Delivery,Recent literature has examined positive IT spillover effects in regional healthcare. We extend this idea and argue that patient and information exchange occur mainly between care-delivery levels (e.g. from primary care clinics to tertiary care hospitals ,Oklahoma State University,,,Chenzhang Bao, Ankita Srivastava, Dursun Delen
Department Management Science and Information Systems,2021,Investigating Uneven Distribution of Health IT Vendor Products,"While there is an increasing trend of adopting systems from several dominating vendors, health IT markets remain competitive and fragmented. This study investigates the distribution of different vendor products and how hospitals adopt health ITs compared",Oklahoma State University,,,Chenzhang Bao,,
Department Management Science and Information Systems,2021,Evolution of EMRs and the Impact on Performance,Health IT applications have been criticized for the lack of interoperability across vendor products. We investigate the difference in vendor selection of EMR applications within a hospital referral region. We cluster the longitudinal patterns of this evo,Oklahoma State University, Temple University,,Chenzhang Bao,,
Department Management Science and Information Systems,2021,Health Information Exchange: Hype or Hope?,"In recent years, healthcare providers increasingly adopt health IT systems primarily from a single supplier in order to maximize their capability to share patient health data. However, little is known about how much variation this merit in health informa",Oklahoma State University,,,Chenzhang Bao,,
Department Management Science and Information Systems,2021,Technostress Among Physicians and Nurses: A Longitudinal Investigation of Health IT-Strategies and User Satisfaction,"In this research, we propose a strategic technostress model to study how EHR strategies impact clinicians’ satisfaction with IT. We perform text mining on data collected from the Glassdoor website to reveal clinicians’ techno-satisfaction and combine",Oklahoma State University, Temple University,,Chenzhang Bao, Ankita Srivastava," Surya Ayyalasomayajula, Dursun Delen"
Department Management Science and Information Systems,2021,Quantum Information Systems: Harnessing Individual and Group Energies,"In this working paper, we propose that an organization is a living organism that generates energy to achieve certain outcomes. We propose that the relationship between the inputs (individual and group use of information systems) and the outputs (strategi",Oklahoma State University, Virginia Military Institute, Indiana University of Pennsylvania,Corey Baham,,
Department Management Science and Information Systems,2021,Using Multi-Factor Authentication for Online Account Security: Examining the Influence of Anticipated Regret,"Authentication plays an important role in securing our systems but is threatened by increasingly sophisticated account hacking and account take over. Several security services have been developed, including multifactor authentication designed to cope wit",Oklahoma State University, University of North Texas,,Corey Baham,,
Department Management Science and Information Systems,2021,"Issues, Challenges, and Discussion of a Theoretical Core of Agile Software Development-Research",Information systems researchers need to balance their pursuit of theoretical contribution by applying the level of nuance needed to make an impact in both research and practice. We argue that the most expedient way to overcome challenges in conducting AS,Oklahoma State University, Louisiana State University,,Corey Baham,,
Department Management Science and Information Systems,2021,Is Technostress Forcing Physicians to Leave Their Careers? An Exploration of EHR-Related Physician Burnout?,"The growing evidence on physician burnout is gaining paramount attention among practitioners, researchers and policy-makers. IS literature has theorized this phenomenon as technostress and there is considerable causal evidence explaining the effect of us",Oklahoma State University,,,Corey Baham, Ankita Srivastava, Dursun Delen
Department Management Science and Information Systems,2021,Generational Differences in Handling Technology Interruptions: A Qualitative Study,Digital native and digital immigrant user types characterize the differences between those who grew up in a world of ubiquitous information systems and those who pre-date it. The rise in computer-mediated communication (CMC) technologies is creating more,Oklahoma State University, Auburn University,,Corey Baham, Ramesh Sharda,
Department Management Science and Information Systems,2021,Signals and Mechanisms for Unintended Consequences in AI: A Grounded Theory Approach,"Artificial Intelligence (AI) technologies such as including machine learning, deep learning, computer vision, and natural language processing, are becoming general-purpose technologies that significantly impact the economic and social structure of organi",Oklahoma State University, Churadata Inc.,,Corey Baham, David Biros, Madhav Sharma
Department Management Science and Information Systems,2021,"Entrepreneurial Organizational Culture, IT-business Alignment, and Firm Agility: A Moderated Mediation","IT-business strategic alignment is one of the most long-standing managerial challenges. Research differs concerning its impact on firm agility. To better understand this relationship, we study the impact of both intellectual and social alignment on firm ",Oklahoma State University, University of Tennessee, Virginia Military Institute,Corey Baham, Andy Luse, Ramesh Sharda
Department Management Science and Information Systems,2021,Bridging the Acceptance-Routinization Gap in Agile Software Development Assimilation: An Exploratory Cross Case Analysis,"Agile software development methods represent a departure from the strong document-driven procedures of plan-driven approaches. As organizations continue to adopt agile methods, understanding how to sustain agile methods is a growing concern. In recent ye",Oklahoma State University, Louisiana State University, Georgia State University,Corey Baham,,
Department Management Science and Information Systems,2021,The Moderating Effect of Ambiguity on Fake News and Sensemaking,"Fakes news on the Internet has emerged as an issue with far-reaching consequences. Given fake news’ breadth of influence, depth of consequences, and perpetuity, we extend this line of inquiry to a less studied area - uncertainty-reducing behaviors in f",Oklahoma State University, Louisiana State University,,Corey Baham,,
Department Management Science and Information Systems,2021,Data is the Disaster: Data Issues in Disaster Management Scenarios,"The 21st Century has been termed “the century of disasters” (Achenbach, 2011) due to several notorious forms of disasters (e.g., geophysical, hydrological, climatological). Among these, the recent biological disaster of the COVID-19 disease epidemic ",Oklahoma State University,,,Corey Baham, Andy Luse," Ramesh Sharda, Jared Taylor"
Department Management Science and Information Systems,2021,A text-mining based cyber-risk assessment and mitigation framework for critical analysis of online hacker forums,"Online hacker communities are meeting spots for aspiring and seasoned cybercriminals where they can engage in technical discussions, and share exploits and relevant hacking tools to be used in launching cyber-attacks on business organizations. Sometimes,",Oklahoma State University,,,Dursun Delen,,
Department Management Science and Information Systems,2021,A critical analysis of COVID-19 research literature: Text mining approach,"Among the stakeholders of COVID-19 research, clinicians particularly experience difficulty keeping up with the deluge of SARS-CoV-2 literature while performing their much-needed clinical duties. To discover the major topics and trends, this study propose",Oklahoma State University, University of Alabama – Birmingham,,Dursun Delen,,
Department Management Science and Information Systems,2021,Clustering Temporal Disease Networks to Assist Clinical Decision Support Systems in Visual Analytics of Comorbidity Progression,"Detection and characterization of comorbidity, the presence of more than one distinct disorder or illness concurrently occurring among a specific cohort of patients, is an invaluable decision aid and a prominent challenge in healthcare research and pract",Oklahoma State University, Center for Health Systems Innovation,,Dursun Delen,,
Department Management Science and Information Systems,2021,An Investigation of the COVID-19 Characteristics Using HER Data from Cerner DW,"Discovery of new novel patterns related to age, race and gender disparities on hospitalization, length-of-stay and mortality in COVID-19 patients through the use of machine learning and data mining techniques and specifically created database on COVID-19",Oklahoma State University, Center for Health Systems Innovation,,Dursun Delen,,
Department Management Science and Information Systems,2021,Predicting and Explaining Pig Iron Production on Charcoal Blast Furnaces: A Machine Learning Approach,"Pig iron, the source for a variety of iron-based products, is traded in commodity markets. Therefore, enhanced productivity has significant economic implications for the producers. In this study, we design, develop, and deploy novel machine learning mode",Oklahoma State University, Metalsider - Brazil," Sabanci University – Istanbul, Turkey",Dursun Delen,,
Department Management Science and Information Systems,2021,A Probabilistic Bayesian Inference Model to Investigate Injury Severity in Automobile Crashes,"One area that has great potential to leverage the value of big data and analytics is the critical analysis of traffic accidents, where results can provide an in-depth understanding of the risks and provide measures to enhance the well-being of individual",Oklahoma State University, University of Tulsa,,Dursun Delen,,
Department Management Science and Information Systems,2021,Crafting Performance-based Cryptocurrency Mining Strategies Using a Hybrid Analytics Approach,"Crafting and executing the best cryptocurrency mining strategy is vital for success. This study aims to identify the best cryptocurrency mining strategy based on service providers' performance for cryptocurrency mining using a hybrid analytics approach, ",Oklahoma State University, Ibn Haldun University - Turkey,,Dursun Delen,,
Department Management Science and Information Systems,2021,To Imprison or Not to Imprison: An Analytics Model for Drug Courts,"Analytics can have a significant social impact on decisioning in drug courts. An alternative to traditional criminal courts, drug courts attempt to identify and transform the traditional punitive jurisprudence to a therapeutic one, where the eligible off",Oklahoma State University, University of Dayton, State of Oklahoma,Dursun Delen,,
Department Management Science and Information Systems,2021,Derivation and Validation of Essential Predictors and Risk Index for Early Detection of Diabetic Retinopathy Using Electronic Health Records,Diabetic retinopathy (DR) is a leading cause for blindness among working-aged adults. The growing prevalence of diabetes urges for cost-effective tools to improve the compliance of eye examinations for early detection of DR. The objective of this researc,Oklahoma State University, Center for Health Systems Innovation,,Dursun Delen,,
Department Management Science and Information Systems,2021,Discovering New Patters in COVID-19 Literature Using Text Mining and Topic Modeling,"Although the topic is rather fresh, there seem to be very large and rich literatures already accumulating on COVID-19-related research studies. In this text mining and topic modeling study, we accumulated several thousands of published articles and used ",Oklahoma State University, University of Wisconsin – Whitewater, University of Dayton,Dursun Delen,,
Department Management Science and Information Systems,2021,Identifying Adverse Drug Events with Big Data Analytics,"In pharmacovigilance terminology, Adverse Drug Event (ADE) is a general term that refers to any injury caused by a medication. Although, pharmaceutical companies conduct rather extensive, time-demanding clinical studies to identify such adversities befor",Oklahoma State University, University of Wisconsin - Whitewater,,Dursun Delen,,
Department Management Science and Information Systems,2021,Improving Student Retention with Predictive Analytics,Accurately predicting and ranking students that are at risk of attrition is the key component of any retention management system. The goal of this research project is to use historical data to develop machine learning based prediction models to accuratel,Oklahoma State University,,,Dursun Delen,,
Department Management Science and Information Systems,2021,Developing a Decision Support Systems for Predicting the Financial Success of Hollywood Movies,"Motion picture business is one of the riskiest endeavors for investors, especially in today’s ever-changing needs and wants, and likes and dislikes of the potential audience. In this study, we aim at developing a Web-based DSS (which we refer to as Mov",Oklahoma State University,,,Dursun Delen,,
Department Management Science and Information Systems,2021,ICT4D and the Capability Approach: Understanding How Conversion Factors Affect Opportunity and Process Freedoms at the Country-Level,"Prior macro-level research on ICT4Ds has measured country-level development using resource- or utilitarian-based approaches. We argue for a people-centered lens using the capability approach, using opportunity and process freedoms. Four conversion factor",Oklahoma State University,,,Bryan Hammer, Gabriel Bahr, Andy Luse
Department Management Science and Information Systems,2021,"International Technology Diffusion, Development, and Trading Partner Spillovers",The purpose of this paper is to expand ICT4D literature by investigating the associations between international trade of technology merchandise and development across countries. Using a spatial autoregression model and data on 45 upper-middle and high-in,Oklahoma State University,,,Bryan Hammer, Gabriel Bahr, Andy Luse
Department Management Science and Information Systems,2021,The Role of Technological Progress in Vertical Specialization and Economic Growth,Previous research has studied how ICT adoption impacts trade on economic and human growth. Countries contribute to the global supply chain (GSC) with various levels of intermediate to final production. This research investigates to what extent countries ,Oklahoma State University,,,Bryan Hammer, Gabriel Bahr, Andy Luse
Department Management Science and Information Systems,2021,The Neuro-Correlates of Information Privacy Concerns and Trust: A Longitudinal Study of Approach-Avoidance Behavior Using EEG,"Privacy research has mainly focused on cognitive, conscious conceptualizations for privacy concerns and trust. Not much is known in how privacy operates in the subconscious mind. We posit, in a privacy-salient context, that trust operates as an approach-",Oklahoma State University,,,Bryan Hammer, Andy Luse,
Department Management Science and Information Systems,2021,The Role of Psychological Contract Violations in Social Media Platforms,"Online business entities rely on privacy seals and user agreements to facilitate user information sharing. Interactions among users of social media platforms (SMP) do not rely on user agreements. As a form of social exchange, information sharing on SMPs ",Oklahoma State University, Oregon State University,,Bryan Hammer,,
Department Management Science and Information Systems,2021,Privacy as a Multidirectional Problem: A Social Relations Model of The Reciprocation of Privacy and Trust Using Network Analysis,"Previous research on privacy (IS, Marketing, Management, Psychology, etc.) models information exchange in privacy salient situations as unidirectional, often from the perspective of a single user. As a social construct, privacy operates in social exchang",Oklahoma State University,,,Bryan Hammer, Andy Luse,
Department Management Science and Information Systems,2021,"Information Sharing as a Multidimensional Phenomenon: A Multilevel Study of Multiplex Relationships, Privacy, and Trust in Social Media Platforms","Research on privacy and trust often model relationships (interpersonal, business-consumer, etc.) as unidimensional, lacking depth. Prior research indicates multidimensional relationships enhance trust, resource sharing, and satisfaction. This research pr",Oklahoma State University,,,Bryan Hammer, Andy Luse,
Department Management Science and Information Systems,2021,The Fear of Social Exclusion and Our Need to Belong: A Study of Interpersonal Privacy and Trust in Social Media Platforms,All individuals have an innate desire to belong to society in order to reduce costs of living as well as experience a reciprocation of welfare. Social media platforms (SMP) provide a vehicle that delivers a means to experience this. This research propose,Oklahoma State University,,,Bryan Hammer, Andy Luse,
Department Management Science and Information Systems,2021,The Antecedents of Habit on IS Continuance,"This study theorizes the antecedents of the habit construct in hedonic IS usage. Studies of habit in IS investigated habit as a construct in both utilitarian and hedonic contexts, but the link between habit and hedonic IS usage isn't fully understood. In",Oklahoma State University,,,Bryan Hammer, Jerome Kirtley, Andy Luse
Department Management Science and Information Systems,2021,Interruptions and Information Recall: Differences Between Virtual and Face-to-Face Learning,This study investigates the link between sensory interruptions and information recall in computer-mediated learning. There is a dearth of literature concerning sensory interruptions in IS literature and with the rising prevalence of virtual learning in t,Oklahoma State University,,,Bryan Hammer, Jerome Kirtley, Andy Luse
Department Management Science and Information Systems,2021,Are You Game? A Meta-Analysis of Gamified Elements and Behavioral Outcomes,"Commercial systems contribute increasing business value by playing a pivotal role in enhancing performance of firms (Melville et al. 2004). Despite the proliferation of technology in our lives, creating systems that maintain user engagement is a struggle",Oklahoma State University, Oregon State University,,Bryan Hammer, Andy Luse," Gabriel Bahr, Jerome Kirtley"
Department Management Science and Information Systems,2021,"Hacking the Value Gap: Cybersecurity Investments, Cybersecurity Talent, and Vulnerability Relative to Peers","Cybersecurity investments, when publicly emphasized, create economic rents through gained legitimacy from stakeholders and a reduction in the cost of capital. The results suggest: 1) Publicly Emphasizing Cybersecurity Investments (PECI) are associated wi",Oklahoma State University, City University of Hong Kong," Temple University, Purdue University",Bryan Hammer,,
Department Management Science and Information Systems,2021,Do I need to be liked to do my job? Perception on Information Security staff and Success of Cooperative Security Operations,"This research examines the effect of employees’ perception on their information security staff on the success of security operations. The extent research has identified various mechanisms, such as sanctions, incentives, and employee training programs, ",Oklahoma State University,,,JinKyu Lee,,
Department Management Science and Information Systems,2021,The Role of Individual Differences in Acceptance of Information Security Policies,Previous studies on corporate information security pointed out that employee incompliance is a major causes of information security incidents. While extant literature suggests that organizations can adopt various incentives and training programs to encou,Oklahoma State University,,,JinKyu Lee,,
Department Management Science and Information Systems,2021,Technical Control or Managerial Control? – A Decision Making Framework for Infosec Control Selection,"Employee training has been widely recognized as one of the most important means to strengthen the information security posture of an organization. However, its complementary and supplementary roles with technical measures in a corporate security architec",Oklahoma State University,,,JinKyu Lee,,
Department Management Science and Information Systems,2021,Strong vs. Weak Theory:  An Evaluative Mechanism for Theoretical Development,"The goal of many theoreticians is to develop sound theory that will be utilized within their field both by researchers and practitioners.  Yet, scholars have not arrived at a consensus concerning what constitutes appropriate theoretical structure. In th",Oklahoma State University, Iowa State University,,Andy Luse, Bryan Edwards,
Department Management Science and Information Systems,2021,Does Technology Thwart Gender Stereotypes: An Impression Formation-based Examination of the Differential Influence of Technology across Gender and Message,"This research examines the relationship between gender, message bias, and technology use on the way that observers form impressions of others. Building on impression formation and gender stereotype research and theory, we develop a two-study research met",Oklahoma State University, Iowa State University,,Andy Luse,,
Department Management Science and Information Systems,2021,Company-Sponsored Online Co-Creation and Financial Incentives: The Impact of Intrinsic Motivation on Participation Intention,"In this study, we use LEGO Ideas, a prominent COCB, as an exemplar and employ a between-subjects randomized experimental design to examine the effect of different types of financial incentives on IM’s impact on participation intention in a COCB context",Oklahoma State University, Iowa State University,,Andy Luse,,
Department Management Science and Information Systems,2021,Using a Virtual Lab Network Testbed to Facilitate Real-world Hands-on Learning in a Networking Course,"The use of an Internet testbed technology named ISEAGE allows students to design and implement fully functional networks using public IP space that is contained in the testbed. To the students, it appears as if they were directly connected to the Interne",Oklahoma State University, Iowa State University,,Andy Luse,,
Department Management Science and Information Systems,2021,Gophish: Implementing a Real-World Phishing Exercise to Teach Social Engineering,"Social engineering is a large problem in our modern technological world, but while conceptually understood, it is harder to teach compared to traditional pen testing techniques. This research details a class project where students implemented a phishing ",Oklahoma State University,,,Andy Luse, Jim Burkman,
Department Management Science and Information Systems,2021,"This Isn’t Your Parent’s TV Show…Oh Wait, It Is","Whether it be old games, books, technology, movies, or TV shows, the prevailing thought is that the younger generation prefers newer things. While this view may be perpetuated online and in popular press, it may also be less than accurate as data actuall",Oklahoma State University,,,Andy Luse, Jim Burkman,
Department Management Science and Information Systems,2021,Wearables in the Workplace: Examination Using a Privacy Boundary Model,"Wearable types can take many forms but this study focuses on RFID wearables due to their low cost, proven durability and reusability (Zhu & Hou, 2020). This research investigates the use of RFID wearables in the context of a corporate environment. Utiliz",Oklahoma State University,,,Andy Luse, Jim Burkman,
Department Management Science and Information Systems,2021,Hot or Not: The Impact of Self-Perceived Facial Attractiveness on Webcam Use During Virtual Meetings,"This research investigates the impact of facial attractiveness in the decision of an individual to display their webcam during a videoconference. Results show that while men are driven by self-views of their own facial attractiveness, women are instead d",Oklahoma State University,,,Andy Luse, Jim Burkman, Erin Stewart
Department Management Science and Information Systems,2021,Hackalytics: Using Computer Hacking to Engage Students in Analytics,This teaching brief describes a novel approach to teaching analytics through computer hacking. Students are exposed to the entire data lifecycle by first collecting intrusion detection data through the hacking of other student machines and then utilizing,Oklahoma State University, Oregon State University,,Andy Luse,,
Department Management Science and Information Systems,2021,Best of Both Worlds: The Inclusion of Gamified Elements in Virtual Lab Environments to Increase Educational Value,"This research explores the idea of investigating both contexts within one unified platform. We examine whether using gamified elements within virtual labs is effective in enhancing learners’ educational performance. Particularly, we employ leaderboards",Oklahoma State University, Oregon State University,,Andy Luse, Gabe Bahr, Bryan Hammer
Department Management Science and Information Systems,2021,Positive Spillover Effects of Mask Mandate Policy and COVID-19 Spread,The mean daily case growth dropped 1.5 to 2.9 percent more following mask mandates for cities subject to the policy relative to non-mandate cities. We also examined whether mask mandate effects spilled over to neighboring municipalities without mandates ,Oklahoma State University,,,Andy Luse, Greg Eaton," Jared Taylor, Ramesh Sharda"
Department Management Science and Information Systems,2021,Learned Helplessness Attributional Scale (LHAS): Development and Validation of an Attributional Style Measure,"In answer to the call to increase the use of attribution theory, we look to both the theory of learned helplessness and Weiner’s attribution theory to create a new set of scales to provide a stable, parsimonious instrument for measuring attributions.  ",Oklahoma State University,,,Andy Luse, Jim Burkman,
Department Management Science and Information Systems,2021,Blocking Effects of Information Sensitivity and Approach-avoidance Disposition on Online Information Disclosure: A Longitudinal Experiment Using EEG,"We theorize that an overarching approach-avoidance mechanism drives information disclosure in which privacy- and trust-related concepts are driven by avoidance tendencies and approach tendencies, respectively. We posit blocking effects and approach-avoid",Oklahoma State University,,,Andy Luse, Bryan Hammer,
